scenario,seed,drift_level,accuracy,f1,roc_auc,precision,recall,rt_psi,rt_entropy,rt_stability,rt_model_score,rd_data_anomaly_rate,rd_data_score_mean,agg_unified_mean,agg_unified_std,agg_threshold_hits,agg_w_data,agg_w_model
A,43,2.0,0.98284375,0.8890146767476651,0.9482412762185801,0.9213106511355066,0.85890625,0.011080256292103616,0.5116583554331322,0.0002100016336914159,0.1755377827953408,0.055325,0.4235323712511712,0.1939078737414107,0.042221437427858284,0.0,0.3,0.7
A,43,4.0,0.95725625,0.7627406764960971,0.9258662650730299,0.685990639625585,0.858828125,0.036980086469637324,0.5202310156349539,0.0004282451693002821,0.18645796353452357,0.10444375,0.4475176821727067,0.2201281199192809,0.04382193529555378,0.0,0.3,0.7
A,44,0.0,0.9975875,0.9849828820417056,0.9995692324431046,0.9810136391816491,0.988984375,8.694778266198105e-05,0.48719101203476556,3.1528099896249185e-05,0.16246301380023165,0.05001875,0.42324535917010037,0.17886180620190512,0.040257441872538643,0.0,0.3,0.7
A,44,0.5,0.98710625,0.9147274004877444,0.9572187507961107,0.9712103923461775,0.864453125,0.007923564849101354,0.49369102772797724,3.443950102785637e-06,0.16629630811214233,0.04406875,0.4231513286282503,0.18188138244604307,0.038693435605506296,0.0,0.3,0.7
A,44,1.0,0.9864,0.9104600444407868,0.9572966101604959,0.9618327247435229,0.864296875,0.007636268646173621,0.49337568099476675,5.587045084365196e-06,0.16577096949312445,0.0462,0.42490804187359965,0.18190911272539165,0.039069079565825234,0.0,0.3,0.7
A,44,1.5,0.98518125,0.9033231396534149,0.9572578931725544,0.9447334754797442,0.865390625,0.008050645768574692,0.4931444101183188,0.0002033310525456025,0.16740471621489353,0.049375,0.42781084419570997,0.18719965799159446,0.04115451124366352,0.0,0.3,0.7
A,44,2.0,0.983,0.8906840286150631,0.9566173103664233,0.9171494785631518,0.865703125,0.00922079979859546,0.49286301047918624,0.00011406293027825397,0.16917408462847486,0.0548125,0.43174839872123305,0.1917468142831294,0.04160157430970974,0.0,0.3,0.7
A,44,4.0,0.9569375,0.7624956911409859,0.941154521378227,0.6822948797038865,0.8640625,0.0390190342684918,0.4927165575965306,0.0010574849197464457,0.18797826696576062,0.10809375,0.45589296367932164,0.2229882655030945,0.042989707920374313,0.0,0.3,0.7
A,45,0.0,0.9964125,0.9774795982423101,0.9996221992824388,0.9817938209331651,0.973203125,0.00014797241706030191,0.49053432370691435,4.975556902897754e-05,0.16463060140344404,0.05035625,0.4073623964335151,0.17485033680579565,0.04168472542410311,0.0,0.3,0.7
A,45,0.5,0.98513125,0.9001385215967762,0.9412162340247112,0.9726934591309081,0.83765625,0.013502909877670808,0.5009257374085098,6.633857720315741e-05,0.17003794195443533,0.0458625,0.407415245950732,0.17961860388141918,0.041663816824875674,0.0,0.3,0.7
A,45,1.0,0.984175,0.894270920327376,0.9390145035453465,0.9605310369573018,0.8365625,0.013800372002469637,0.5016028140401547,2.9467328761174504e-05,0.17044776818568405,0.048175,0.4093425534121587,0.1810444416718791,0.04181592444426293,0.0,0.3,0.7
A,45,1.5,0.982975,0.8872143093739648,0.9370990640391474,0.9437984496124031,0.83703125,0.014404942636904257,0.5025086553397007,8.778374088504732e-05,0.17216187504469285,0.05194375,0.4123512282574831,0.1859778716778241,0.04278536854482879,0.0,0.3,0.7
A,45,2.0,0.9808625,0.8751427173381178,0.9343646903659986,0.9153019447287615,0.838359375,0.015127515467438901,0.5035900548362178,0.00013432302183151982,0.17229595735840916,0.0572625,0.4163435221987852,0.18876901512483868,0.043923915073826425,0.0,0.3,0.7
A,45,4.0,0.95663125,0.7570122912070596,0.9138476987092391,0.6859808339150854,0.844453125,0.04099152396566256,0.5118245436062046,0.0006869174588678309,0.19062382654559193,0.114175,0.4419386954110314,0.22054621882052683,0.04555146319989352,0.0,0.3,0.7
A,46,0.0,0.99729375,0.983094522312888,0.999600216011379,0.9825958011394678,0.98359375,6.517705910907429e-05,0.49027278378012906,2.4244143444947035e-05,0.16406014467208677,0.049575,0.41570730588492427,0.18376136054768505,0.04332048229390293,0.0,0.3,0.7
A,46,0.5,0.98645625,0.9098398169336385,0.984513379967731,0.973208722741433,0.85421875,0.009795725285819824,0.49835342264037547,2.889331380840304e-05,0.16802738149594687,0.04518125,0.4156418674014403,0.18800065688650347,0.04298255825893565,0.0,0.3,0.7
A,46,1.0,0.9858875,0.9065319976819273,0.9848287348208221,0.9640781827786582,0.85546875,0.010153284256751823,0.49847085361290383,8.226853024943013e-07,0.16786193836321026,0.0472375,0.41739573004668257,0.18831512402559142,0.04303047382092525,0.0,0.3,0.7
A,46,1.5,0.98490625,0.9007439069499815,0.9849394310992697,0.950307865753187,0.85609375,0.010110517328551347,0.4988189170289992,6.77670769436672e-05,0.17011978109171336,0.05046875,0.42019563795111026,0.19252421386456622,0.043029709611434486,0.0,0.3,0.7
A,46,2.0,0.9832875,0.8913008130081301,0.984947072435462,0.9290677966101695,0.856484375,0.011322012115210174,0.49952943410798306,5.453540609079858e-07,0.1684047286748905,0.0550125,0.42388590948809013,0.19374269655911658,0.04290684491998387,0.0,0.3,0.7
A,46,4.0,0.9632125,0.7881971932349766,0.97405107421875,0.7306204136090727,0.855625,0.04598433412163734,0.509402550243899,0.00029274304669141694,0.1827302969473518,0.1023375,0.447179336529753,0.2208223438117086,0.04410226389538213,0.0,0.3,0.7
A,47,0.0,0.99715,0.9821888914928522,0.9996070376188859,0.9821121699734416,0.982265625,0.0001292745566438145,0.4913435708695147,3.644612286673707e-05,0.16428479187605094,0.0497125,0.4114487118966119,0.17764589669700467,0.041719513084469424,0.0,0.3,0.7
A,47,0.5,0.9859625,0.9061742835658785,0.9584426959493886,0.9737834440653618,0.84734375,0.005078959158598817,0.4967551831712397,0.00010066450904638513,0.1680559872520073,0.04469375,0.4118840220217213,0.18080063005820807,0.04032053352969056,0.0,0.3,0.7
A,47,1.0,0.9852,0.9015056983612012,0.958630976668648,0.963974381782601,0.846640625,0.005130939131406407,0.49675251057331116,4.166809720100812e-05,0.16687493314218393,0.048075,0.4144168109352269,0.18501740849297002,0.04236340246493804,0.0,0.3,0.7
A,47,1.5,0.983675,0.892377420683972,0.9583125674040421,0.9441150828247602,0.846015625,0.005455349260884457,0.4969598424660862,0.00018752031210144462,0.168884129687613,0.05230625,0.4178848172926004,0.18776075863290836,0.04184653791782788,0.0,0.3,0.7
A,47,2.0,0.98166875,0.8806510681586979,0.9573701755689539,0.9189808917197452,0.845390625,0.005979022252300384,0.49733022274166677,0.0002115187901182304,0.16923345916367816,0.06010625,0.42261981541710375,0.18960812818111916,0.042098774290348494,0.0,0.3,0.7
A,47,4.0,0.9562875,0.7558813263525306,0.9472518859863281,0.6831545741324921,0.8459375,0.027013261837719106,0.503286856870151,0.00045712004157497403,0.17873124310481847,0.1360375,0.4502584799264875,0.21627941797453518,0.04489074472860739,0.0,0.3,0.7
A,48,0.0,0.9969625,0.9810111744940221,0.9996887599779212,0.9812412068156948,0.98078125,0.00018142313980815887,0.4845860454693963,7.258011714667753e-05,0.16253462245063247,0.049575,0.4204660952030281,0.18218609941051592,0.04308017463324541,0.0,0.3,0.7
A,48,0.5,0.98584375,0.9054398196468083,0.9175233525815217,0.9722944499237873,0.8471875,0.013470887739053725,0.4934928146538532,5.4949479130634804e-05,0.16806744678853677,0.0435,0.4201484514463749,0.18997258890136567,0.04425322177410012,0.0,0.3,0.7
A,48,1.0,0.98491875,0.8996798736124392,0.9174207784901496,0.9615213720785568,0.8453125,0.01403957689520943,0.4937518624729351,8.809013054047346e-05,0.16870639966319892,0.04529375,0.4218665611917375,0.19204332460868417,0.043662710271924685,0.0,0.3,0.7
A,48,1.5,0.98355625,0.891473827496597,0.9176310212508493,0.9443327798654199,0.84421875,0.013875537037755705,0.4940743712232246,0.00014526173858967053,0.16978632962628706,0.04875,0.4247315945145045,0.19377396107628891,0.0435292132142514,0.0,0.3,0.7
A,48,2.0,0.981425,0.8789310738145674,0.918122940461532,0.9182839632277835,0.8428125,0.014793455449924699,0.49452134465472025,0.00019955254912366736,0.17095464421200124,0.0533,0.4286233109367584,0.1966613486980665,0.04375008605564276,0.0,0.3,0.7
A,48,4.0,0.95609375,0.7551496985117284,0.9143426930303159,0.6817066263922975,0.846328125,0.03960763003281538,0.5000931716164189,0.0004907082432750507,0.1781760740544034,0.10323125,0.4528633519408969,0.22065107429809785,0.04445275756876209,0.0,0.3,0.7
A,49,0.0,0.99659375,0.9786215823951673,0.9995744506835937,0.9827463956511463,0.97453125,0.00013172335805359444,0.4951413717698195,2.3545574588303348e-05,0.16547843456052372,0.050375,0.41008311317931,0.17884794227667222,0.04245633510075341,0.0,0.3,0.7
